yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1893,NL,BLN,BLO,,8,,Baltimore Orioles,Union Park,143000,BLN
1893,NL,BRO,LAD,,7,,Brooklyn Grooms,Eastern Park,235000,BRO
1893,NL,BSN,ATL,,1,,Boston Beaneaters,South End Grounds II,193300,BSN
1893,NL,CHN,CHC,,9,,Chicago Colts,South Side Park I,223500,CHC
1893,NL,CIN,CIN,,6,,Cincinnati Reds,League Park I in Cincinnati,194250,CIN
1893,NL,CL4,CLV,,3,,Cleveland Spiders,League Park I,130000,CLV
1893,NL,LS3,LOU,,11,,Louisville Colonels,Eclipse Park II,53683,LOU
1893,NL,NY1,SFG,,5,,New York Giants,Polo Grounds III,290000,NYG
1893,NL,PHI,PHI,,4,,Philadelphia Phillies,Philadelphia Baseball Grounds,293019,PHI
1893,NL,PIT,PIT,,2,,Pittsburgh Pirates,Exposition Park,184000,PIT
1893,NL,SLN,STL,,10,,St. Louis Browns,Robison Field,195000,STL
1893,NL,WAS,WAS,,12,,Washington Senators,Boundary Field,90000,WHS
1894,NL,BLN,BLO,,1,,Baltimore Orioles,Union Park,328000,BLN
1894,NL,BRO,LAD,,5,,Brooklyn Grooms,Eastern Park,214000,BRO
1894,NL,BSN,ATL,,3,,Boston Beaneaters,South End Grounds II / Congress Street Grounds / South End Grounds III,152800,BSN
1894,NL,CHN,CHC,,8,,Chicago Colts,West Side Park II,239000,CHC
1894,NL,CIN,CIN,,10,,Cincinnati Reds,League Park II in Cincinnati,158000,CIN
1894,NL,CL4,CLV,,6,,Cleveland Spiders,League Park I,82000,CLV
1894,NL,LS3,LOU,,12,,Louisville Colonels,Eclipse Park II,75000,LOU
1894,NL,NY1,SFG,,2,,New York Giants,Polo Grounds III,387000,NYG
1894,NL,PHI,PHI,,4,,Philadelphia Phillies,Philadelphia Baseball Grounds,352773,PHI
1894,NL,PIT,PIT,,7,,Pittsburgh Pirates,Exposition Park,159000,PIT
1894,NL,SLN,STL,,9,,St. Louis Browns,Robison Field,155000,STL
1894,NL,WAS,WAS,,11,,Washington Senators,Boundary Field,125000,WHS
1895,NL,BLN,BLO,,1,,Baltimore Orioles,Union Park,293000,BLN
1895,NL,BRO,LAD,,5,,Brooklyn Grooms,Eastern Park,230000,BRO
1895,NL,BSN,ATL,,6,,Boston Beaneaters,South End Grounds III,242000,BSN
1895,NL,CHN,CHC,,4,,Chicago Colts,West Side Park II,382300,CHC
1895,NL,CIN,CIN,,8,,Cincinnati Reds,League Park II in Cincinnati,281000,CIN
1895,NL,CL4,CLV,,2,,Cleveland Spiders,League Park I,143000,CLV
1895,NL,LS3,LOU,,12,,Louisville Colonels,Eclipse Park II,92000,LOU
1895,NL,NY1,SFG,,9,,New York Giants,Polo Grounds III,240000,NYG
1895,NL,PHI,PHI,,3,,Philadelphia Phillies,Baker Bowl,474971,PHI
1895,NL,PIT,PIT,,7,,Pittsburgh Pirates,Exposition Park,188000,PIT
1895,NL,SLN,STL,,11,,St. Louis Browns,Robison Field,170000,STL
1895,NL,WAS,WAS,,10,,Washington Senators,Boundary Field,153000,WHS
1896,NL,BLN,BLO,,1,,Baltimore Orioles,Union Park,249448,BLN
1896,NL,BRO,LAD,,10,,Brooklyn Bridegrooms,Eastern Park,201000,BRO
1896,NL,BSN,ATL,,4,,Boston Beaneaters,South End Grounds III,240000,BSN
